S[2,1];S[1,1,0];S[3,2]
S[2,1];S[2,1,0];q1*q2*S[]
S[2,1];S[3,1,0];q1*q2*S[1]
S[3,1];S[];S[3,1]
S[3,1];S[1];q1*S[1,1,0]
S[3,1];S[2];q1*q2*S[]+q1*S[2,1,0]
S[3,1];S[3];q1*q2*S[1]
S[3,1];S[1,0];S[3,2]
S[3,1];S[1,1];q1*S[3]+q1*S[2,1,0]
S[3,1];S[2,1];q1*S[3,1,0]
S[3,1];S[3,1];q1*q2*S[1,1]
S[3,1];S[3,2];q1*q2*S[3]+q1*q2*S[2,1]
S[3,1];S[1,1,0];q1*q2*S[]+q2*S[2,1]
S[3,1];S[2,1,0];q1*q2*S[1,0]
S[3,1];S[3,1,0];q1*q2*S[2]
S[3,2];S[];S[3,2]
S[3,2];S[1];q1*q2*S[]+q1*S[2,1,0]
S[3,2];S[2];q1*q2*S[1]+q1*q2*S[1,0]
S[3,2];S[3];q1*q2*S[2]
S[3,2];S[1,0];q1*q2*S[]+q2*S[2,1]
S[3,2];S[1,1];q1*q2*S[1]+q1*S[3,1,0]
S[3,2];S[2,1];q1*q2*S[1,1]
S[3,2];S[3,1];q1*q2*S[3]+q1*q2*S[2,1]
S[3,2];S[3,2];q1*q2*S[3,1]+q1*q2*S[3,1,0]
S[3,2];S[1,1,0];q1*q2*S[1,0]+q2*S[3,1]
S[3,2];S[2,1,0];q2*q1*S[1,1,0]
S[3,2];S[3,1,0];q1*q2*S[3]+q1*q2*S[2,1,0]
S[1,1,0];S[];S[1,1,0]
S[1,1,0];S[1];S[3]+S[2,1,0]
S[1,1,0];S[2];q2*S[1]+S[3,1,0]
S[1,1,0];S[3];q2*S[1,1]
S[1,1,0];S[1,0];q2*S[]+S[2,1,0]
S[1,1,0];S[1,1];S[3,1]+S[3,1,0]
S[1,1,0];S[2,1];S[3,2]
S[1,1,0];S[3,1];q1*q2*S[]+q2*S[2,1]
S[1,1,0];S[3,2];q1*q2*S[1,0]+q2*S[3,1]
S[1,1,0];S[1,1,0];q2*S[1]+q2*S[1,0]
S[1,1,0];S[2,1,0];q2*S[2]
S[1,1,0];S[3,1,0];q2*S[3]+q2*S[2,1]
S[2,1,0];S[];S[2,1,0]
S[2,1,0];S[1];S[3,1,0]
S[2,1,0];S[2];q2*S[1,1]
S[2,1,0];S[3];q2*S[2,1]
S[2,1,0];S[1,0];q2*S[1]
S[2,1,0];S[1,1];S[3,2]
S[2,1,0];S[2,1];q1*q2*S[]
S[2,1,0];S[3,1];q1*q2*S[1,0]
S[2,1,0];S[3,2];q2*q1*S[1,1,0]
S[2,1,0];S[1,1,0];q2*S[2]
S[2,1,0];S[2,1,0];q2*S[3]
S[2,1,0];S[3,1,0];q2*S[3,1]
S[3,1,0];S[];S[3,1,0]
S[3,1,0];S[1];S[3,2]
S[3,1,0];S[2];q1*q2*S[]+q2*S[2,1]
S[3,1,0];S[3];q1*q2*S[1,0]
S[3,1,0];S[1,0];q2*S[1,1]
S[3,1,0];S[1,1];q1*q2*S[]+q1*S[2,1,0]
S[3,1,0];S[2,1];q1*q2*S[1]
S[3,1,0];S[3,1];q1*q2*S[2]
S[3,1,0];S[3,2];q1*q2*S[3]+q1*q2*S[2,1,0]
S[3,1,0];S[1,1,0];q2*S[3]+q2*S[2,1]
S[3,1,0];S[2,1,0];q2*S[3,1]
S[3,1,0];S[3,1,0];q2*q1*S[1,1,0]
